target,spearman_rho,lag
target_0,-0.046195314119842415,1
target_1,0.018563960311533127,1
target_2,0.08210545825224726,1
target_3,0.09254007969604301,1
target_4,0.06168212739641311,1
target_5,0.08881880024737167,1
target_6,-0.03460290983226763,1
target_7,-0.1678758135068815,1
target_8,-0.14417693169092946,1
target_9,-0.020952645723287925,1
target_10,-0.007320828667413215,1
target_11,0.10648688722083217,1
target_12,-0.07216472847540809,1
target_13,0.03796682420535632,1
target_14,0.10571855329136884,1
target_15,0.01717171717171717,1
target_16,-0.11964152352501868,1
target_17,-0.004549272116461367,1
target_18,0.1834862385321101,1
target_19,0.07163128134001921,1
target_20,0.2016680567139283,1
target_21,0.03881361357089513,1
target_22,0.1148936170212766,1
target_23,0.05411917338522843,1
target_24,0.04563269876819709,1
target_25,0.05561719833564494,1
target_26,0.06777870447595218,1
target_27,-0.04552437853408727,1
target_28,0.07822468793342581,1
target_29,-0.020554165508293948,1
target_30,-0.04061666488850955,1
target_31,0.009804758348447672,1
target_32,0.017198335644937588,1
target_33,-0.0018617021276595746,1
target_34,-0.07720046943347915,1
target_35,-0.0009798432250839866,1
target_36,-0.11446575850245577,1
target_37,-0.024986663821615282,1
target_38,0.007922732362821948,1
target_39,0.0029561671763506632,1
target_40,0.0139443081190654,1
target_41,0.06709698068921371,1
target_42,0.09352395177637897,1
target_43,-0.1220739505143175,1
target_44,-0.027248479675664145,1
target_45,-0.04631637475674174,1
target_46,-0.00967673103595434,1
target_47,0.10388349514563108,1
target_48,0.05946868665315268,1
target_49,-0.11585404886375762,1
target_50,-0.16054031354983203,1
target_51,0.005529115341545353,1
target_52,-0.061366181410974247,1
target_53,0.14660194174757285,1
target_54,0.01270996640537514,1
target_55,0.21730502507201538,1
target_56,0.20240941525345196,1
target_57,-0.05272956326987682,1
target_58,0.009392497200447929,1
target_59,-0.10221164613661815,1
target_60,0.10683903252710594,1
target_61,-0.10804438280166438,1
target_62,0.16211878009630817,1
target_63,-0.14613661814109744,1
target_64,0.11297377444166436,1
target_65,-0.20391550197375444,1
target_66,0.00030795072788353863,1
target_67,0.01318589025755879,1
target_68,0.03359650058679185,1
target_69,0.07243072931146326,1
target_70,-0.031708097727515205,1
target_71,0.026010882321561936,1
target_72,-0.056257334898111605,1
target_73,-0.11009281980155769,1
target_74,-0.03672504865165416,1
target_75,-0.15663074789288384,1
target_76,-0.09726624038550645,1
target_77,-0.08715459297983572,1
target_78,0.10240761478163495,1
target_79,-0.12796329883708524,1
target_80,0.07101063829787234,1
target_81,0.20675344073402327,1
target_82,-0.037976718760048885,1
target_83,-0.091507521604609,1
target_84,-0.012640163098878698,1
target_85,0.00956047032474804,1
target_86,-0.07469187285701047,1
target_87,-0.021137985358168847,1
target_88,0.1333404459618052,1
target_89,-0.22182374200722826,1
target_90,0.1332017497066041,1
target_91,0.12274618585298198,1
target_92,0.11280795072788355,1
target_93,0.013890963405526514,1
target_94,-0.07967566414168356,1
target_95,-0.07520537714712473,1
target_96,0.04602581884135283,1
target_97,0.04543902699242506,1
target_98,0.28584231302677904,1
target_99,0.04342105263157895,1
target_100,0.07005227781926812,1
target_101,-0.03073722394110744,1
target_102,-0.07345567054304919,1
target_103,-0.002165795369678865,1
target_104,0.0028555431131019036,1
target_105,-0.028443401258935245,1
target_106,-0.052104499274310594,2
target_107,-0.04417256073452533,2
target_108,-0.21742071317652215,2
target_109,-0.060905711863001984,2
target_110,-0.06673297247671327,2
target_111,0.2519557026184419,2
target_112,-0.15222921408488418,2
target_113,0.017006294676197593,2
target_114,-0.03570895124293182,2
target_115,0.24170489704470288,2
target_116,0.02382653595892042,2
target_117,0.08319757638114836,2
target_118,0.23214915163813388,2
target_119,0.10339440014480741,2
target_120,-0.1293644669277011,2
target_121,0.08115901455767076,2
target_122,0.023250279955207172,2
target_123,-0.09179731243001121,2
target_124,0.06833457804331591,2
target_125,-0.004020311145407604,2
target_126,-0.10624697974783641,2
target_127,-0.07810073642192308,2
target_128,0.028765397536394177,2
target_129,-0.04977754913448989,2
target_130,-0.01181410974244121,2
target_131,0.07522075297632123,2
target_132,-0.005601194921583272,2
target_133,0.15168576790800917,2
target_134,0.20394939155647324,2
target_135,-0.010653253086148576,2
target_136,0.14907964679523789,2
target_137,-0.15006809295787024,2
target_138,-0.034183292435719624,2
target_139,0.09112375345956157,2
target_140,-0.07350223964165735,2
target_141,-0.16790038774090904,2
target_142,0.05438650441505953,2
target_143,-0.0699051091683873,2
target_144,0.04721444568868981,2
target_145,0.051264269710871654,2
target_146,-0.14235821288933798,2
target_147,0.017427211646136618,2
target_148,-0.020702687569988804,2
target_149,-0.06630739081746921,2
target_150,-0.07315599876993366,2
target_151,0.07071783156877388,2
target_152,-0.07132188200149364,2
target_153,0.012792062306625414,2
target_154,-0.0382558790593505,2
target_155,-0.18089494793601796,2
target_156,0.14951895620085226,2
target_157,-0.019703026841804687,2
target_158,0.1492993014980451,2
target_159,0.02922732362821949,2
target_160,-0.05737380837323728,2
target_161,-0.1208475044537807,2
target_162,0.012432478779044841,2
target_163,-0.08861968984755964,2
target_164,0.017297807846065986,2
target_165,-0.00766594912797083,2
target_166,0.09866889250098845,2
target_167,-0.060317181390853576,2
target_168,0.06000966480692352,2
target_169,0.11201615745901092,2
target_170,0.053226252060171286,2
target_171,0.06717166328816815,2
target_172,0.05513333040460397,2
target_173,0.13039591986960405,2
target_174,0.130134428678118,2
target_175,-0.159476483762598,2
target_176,-0.18838685586258402,2
target_177,0.18026617889431915,2
target_178,-0.23474996903788808,2
target_179,-0.08709406494960806,2
target_180,0.22301231802911536,2
target_181,-0.027841233580810965,2
target_182,-0.0326293025427039,2
target_183,0.06739921612541992,2
target_184,0.04085946248600224,2
target_185,0.20998040313549832,2
target_186,0.21753503492509776,2
target_187,0.17609089939187028,2
target_188,-0.24664894681185515,2
target_189,0.027284765688263928,2
target_190,-0.0700369019900716,2
target_191,0.018407064095242277,2
target_192,-0.1026556253569389,2
target_193,-0.16905724201555156,2
target_194,0.08188689809630459,2
target_195,-0.11429732460571981,2
target_196,-0.01050806443929997,2
target_197,0.006604075536114372,2
target_198,-0.050549220231120254,2
target_199,0.00238325352545798,2
target_200,-0.030333342860136996,2
target_201,0.06253569388920617,2
target_202,-0.01617756886174933,2
target_203,-0.051168563018934236,2
target_204,0.20176371780515118,2
target_205,0.18024864912357774,2
target_206,-0.10076659491279709,2
target_207,-0.12444008958566628,2
target_208,-0.08643412555462814,2
target_209,0.004568817818389492,2
target_210,-0.027421612541993278,2
target_211,-0.033924947840749946,2
target_212,0.1524351471213625,3
target_213,-0.05158764183028952,3
target_214,-0.07888478727948535,3
target_215,0.11234371911838774,3
target_216,-0.1461724333594731,3
target_217,-0.1636542152006069,3
target_218,-0.04243238351100822,3
target_219,0.26815094267722234,3
target_220,0.05326626543074287,3
target_221,-0.06995625733489813,3
target_222,-0.020174970660407555,3
target_223,0.04824373374489125,3
target_224,-0.1358893818916663,3
target_225,0.024174132138857784,3
target_226,-0.12340201203707772,3
target_227,-0.047262472967694605,3
target_228,-0.12128573742223746,3
target_229,-0.04670039155163051,3
target_230,-0.11504415059526425,3
target_231,0.18799241666428496,3
target_232,0.0040173572228443455,3
target_233,0.05753854940034266,3
target_234,-0.004020311145407604,3
target_235,-0.05648096304591266,3
target_236,0.15264797507788164,3
target_237,-0.042755787901418964,3
target_238,0.32648376259798434,3
target_239,-0.06879334257975035,3
target_240,0.07219411815141902,3
target_241,-0.19715652768284347,3
target_242,0.12403898368058533,3
target_243,0.015935948688661425,3
target_244,0.004469973202126258,3
target_245,-0.10684946121839327,3
target_246,-0.14420331239291834,3
target_247,-0.08926371780515117,3
target_248,0.03238808592891974,3
target_249,0.02455739577384352,3
target_250,0.23950050520581645,3
target_251,0.03426791277258567,3
target_252,0.29521276595744683,3
target_253,-0.024568378508983874,3
target_254,0.044062733383121735,3
